aX,aY,aZ
0.00,0.00,0.96
0.02,-0.02,1.00
0.00,0.01,0.91
-0.02,0.00,0.96
-0.00,0.01,0.93
0.02,0.01,0.96
0.02,0.02,0.97
0.01,0.02,0.96
-0.00,0.01,0.96
-0.01,0.01,0.98
-0.01,0.01,0.97
0.00,0.01,0.96
0.01,0.03,0.97
0.01,0.03,0.98
-0.00,0.02,0.96
-0.00,0.01,0.97
-0.00,0.00,0.98
-0.00,0.01,0.97
0.00,0.02,0.96
0.01,0.02,0.98
0.01,0.02,0.97
-0.00,0.01,0.96
-0.01,0.01,0.97
-0.00,0.01,0.98
0.00,0.01,0.97
0.01,0.02,0.97
0.01,0.02,0.98
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.96
0.01,0.02,1.00
0.01,0.02,0.97
-0.00,0.01,0.97
-0.01,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.01,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.01,0.02,0.97
0.00,0.01,0.97
-0.01,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.01,0.97
0.01,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
0.00,0.01,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
0.00,0.01,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.01,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.00,0.02,0.97
-0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.00,0.02,0.97
0.00,0.02,0.97
-0.00,0.01,0.97
-0.00,0.01,0.97
0.00,0.01,0.97
0.00,0.02,0.97
0.01,0.02,0.97
